nhgiscode,gjoin1970,gjoin1980,gjoin1990,gjoin2000,gjoin2010,gjoin2012,state,statefp,statenh,county,countyfp,countynh,tracta,name1970,name1980,name1990,name2000,name2010,name2012,r_wh_1970,r_wh_1980,r_wh_1990,r_wh_2000,r_wh_2010,r_bl_1970,r_bl_1980,r_bl_1990,r_bl_2000,r_bl_2010,r_ai_1970,r_ai_1980,r_ai_1990,r_ai_2000,r_ai_2010,r_as_1970,r_as_1980,r_as_1990,r_as_2000,r_as_2010,r_2m_2000,r_2m_2010,emp_tot_1970,emp_tot_1980,emp_tot_1990,emp_tot_2000,emp_tot_2012,emp_1970,emp_1980,emp_1990,emp_2000,emp_2012,emp_un_1970,emp_un_1980,emp_un_1990,emp_un_2000,emp_un_2012,pov_1970,pov_1980,pov_1990,pov_2000,pov_2012,pop_2012,pop_1980,pop_2000,pop_1970,pop_1990,pop_2010
G4701570010120,,G4701570010120,G4701570010120,G4701570010120,G4701570010120,G4701570010120,Tennessee,47,470,Shelby County,157,1570,10120,,State: 47 County: 157 Tract: 101.20,Tract 101.20,Census Tract 101.20,Census Tract 101.20,"Census Tract 101.20, Shelby County, Tennessee",,4867.0,3466.0,1571.0,615.0,,1729.0,2699.0,4568.0,4675.0,,6.0,17.0,19.0,5.0,,6.0,19.0,62.0,40.0,54.0,64.0,,3026.0,2939.0,2268.0,1899.0,,2751.0,2600.0,1979.0,1656.0,,271.0,299.0,289.0,243.0,,1181.0,1166.0,2086.0,2654.0,0.0,6608.0,6274.0,0.0,6201.0,5399.0
G4701570010200,G47015700102,,,,,,Tennessee,47,470,Shelby County,157,1570,10200,Tract  102,,,,,,12677.0,,,,,990.0,,,,,5.0,,,,,71.0,,,,,,,5433.0,,,,,5017.0,,,,,172.0,,,,,1080.0,,,,,0.0,0.0,0.0,13743.0,0.0,0.0
G4701570010210,,G4701570010210,G4701570010210,G4701570010210,G4701570010210,G4701570010210,Tennessee,47,470,Shelby County,157,1570,10210,,State: 47 County: 157 Tract: 102.10,Tract 102.10,Census Tract 102.10,Census Tract 102.10,"Census Tract 102.10, Shelby County, Tennessee",,4822.0,2763.0,904.0,444.0,,1202.0,3403.0,5279.0,5185.0,,16.0,15.0,5.0,4.0,,82.0,66.0,28.0,22.0,54.0,51.0,,3257.0,2995.0,2861.0,2507.0,,2989.0,2741.0,2555.0,2078.0,,168.0,233.0,306.0,429.0,,279.0,1026.0,1103.0,2511.0,0.0,6122.0,6270.0,0.0,6247.0,5706.0
G4701570010220,,G4701570010220,G4701570010220,G4701570010220,G4701570010220,G4701570010220,Tennessee,47,470,Shelby County,157,1570,10220,,State: 47 County: 157 Tract: 102.20,Tract 102.20,Census Tract 102.20,Census Tract 102.20,"Census Tract 102.20, Shelby County, Tennessee",,6020.0,3818.0,1820.0,850.0,,1918.0,3780.0,5563.0,5840.0,,0.0,15.0,18.0,12.0,,141.0,59.0,71.0,49.0,69.0,59.0,,3851.0,3884.0,3342.0,3409.0,,3553.0,3704.0,3030.0,2890.0,,266.0,172.0,312.0,519.0,,966.0,934.0,1636.0,1876.0,0.0,8079.0,7541.0,0.0,7672.0,6810.0
G4701570010300,G47015700103,G47015700103,G47015700103,G4701570010300,G4701570010300,G4701570010300,Tennessee,47,470,Shelby County,157,1570,10300,Tract  103,State: 47 County: 157 Tract: 103,Tract 103,Census Tract 103,Census Tract 103,"Census Tract 103, Shelby County, Tennessee",1748.0,164.0,131.0,61.0,29.0,366.0,2341.0,2104.0,1951.0,1409.0,14.0,0.0,13.0,6.0,4.0,3.0,0.0,0.0,21.0,20.0,16.0,16.0,620.0,823.0,795.0,688.0,519.0,577.0,700.0,643.0,564.0,389.0,37.0,111.0,152.0,124.0,130.0,291.0,859.0,1179.0,756.0,531.0,0.0,2505.0,2055.0,2131.0,2248.0,1478.0
G4701570010400,G47015700104,,,,,,Tennessee,47,470,Shelby County,157,1570,10400,Tract  104,,,,,,901.0,,,,,53.0,,,,,0.0,,,,,2.0,,,,,,,375.0,,,,,371.0,,,,,4.0,,,,,52.0,,,,,0.0,0.0,0.0,956.0,0.0,0.0
G4701570010410,,G4701570010410,G4701570010410,G4701570010410,,,Tennessee,47,470,Shelby County,157,1570,10410,,State: 47 County: 157 Tract: 104.10,Tract 104.10,Census Tract 104.10,,,,667.0,542.0,474.0,,,28.0,57.0,97.0,,,0.0,1.0,1.0,,,10.0,2.0,12.0,,11.0,,,361.0,339.0,309.0,,,361.0,319.0,286.0,,,0.0,20.0,23.0,,,153.0,54.0,166.0,,0.0,705.0,595.0,0.0,602.0,0.0
G4701570010420,,G4701570010420,G4701570010420,G4701570010420,,,Tennessee,47,470,Shelby County,157,1570,10420,,State: 47 County: 157 Tract: 104.20,Tract 104.20,Census Tract 104.20,,,,86.0,101.0,30.0,,,19.0,244.0,71.0,,,0.0,2.0,1.0,,,0.0,8.0,0.0,,0.0,,,48.0,188.0,40.0,,,48.0,175.0,22.0,,,0.0,13.0,18.0,,,43.0,105.0,46.0,,0.0,105.0,102.0,0.0,355.0,0.0
G4701570010500,G47015700105,G47015700105,G47015700105,G4701570010500,G4701570010500,G4701570010500,Tennessee,47,470,Shelby County,157,1570,10500,Tract  105,State: 47 County: 157 Tract: 105,Tract 105,Census Tract 105,Census Tract 105,"Census Tract 105, Shelby County, Tennessee",2465.0,1996.0,1086.0,589.0,307.0,294.0,2734.0,3840.0,3345.0,1795.0,3.0,0.0,17.0,12.0,5.0,3.0,48.0,48.0,111.0,271.0,27.0,35.0,1277.0,1941.0,1568.0,1525.0,830.0,1216.0,1696.0,1303.0,1344.0,699.0,57.0,223.0,265.0,181.0,131.0,512.0,1944.0,1965.0,1107.0,1254.0,0.0,4778.0,4084.0,2765.0,4991.0,2413.0
G4701570010600,G47015700106,G47015700106,,,,,Tennessee,47,470,Shelby County,157,1570,10600,Tract  106,State: 47 County: 157 Tract: 106,,,,,10946.0,13484.0,,,,135.0,1039.0,,,,2.0,17.0,,,,19.0,59.0,,,,,,4978.0,8715.0,,,,4847.0,8324.0,,,,120.0,365.0,,,,506.0,1057.0,,,,0.0,14599.0,0.0,11102.0,0.0,0.0
